window,exec_interval,signal_interval,signal_mode,signal_ma_period,freeze_days,freeze_bars,freeze_basis,raw_flips,regime_flips,trades,return,max_dd,excess_vs_bh
1h_exec_6y,1h,1h,exec_close_vs_signal_ma,960,1,24,execution,640,238,239,14.095870465490856,-0.5029944973986702,7.60857624396628
1h_exec_6y,1h,1h,long_close_signal,960,2,48,signal,638,192,193,12.360219608529851,-0.48470945215540817,2.709790900737751
1h_exec_6y,1h,1h,exec_close_vs_signal_ma,960,2,48,execution,640,192,193,12.429527279846909,-0.48463350999600396,5.942233058322333
1h_exec_6y,1h,1h,long_close_signal,960,3,72,signal,638,162,163,14.49371979826763,-0.47102489309964934,4.84329109047553
1h_exec_6y,1h,1h,exec_close_vs_signal_ma,960,3,72,execution,640,162,163,14.579395396827412,-0.4707668876813558,8.092101175302837
1h_exec_6y,1h,1h,long_close_signal,960,5,120,signal,638,134,135,10.895241078571328,-0.49986944243868314,1.2448123707792274
1h_exec_6y,1h,1h,exec_close_vs_signal_ma,960,5,120,execution,640,134,135,11.243322482069527,-0.4937747763444339,4.756028260544951
1h_exec_6y,1h,1h,long_close_signal,960,7,168,signal,638,112,113,14.30323809752293,-0.478090356890692,4.65280938973083
1h_exec_6y,1h,1h,exec_close_vs_signal_ma,960,7,168,execution,640,112,113,14.565108041918366,-0.4718211616313561,8.07781382039379
1h_exec_6y,1h,1h,long_close_signal,960,10,240,signal,638,96,97,13.199803808063342,-0.4300477966055878,3.5493751002712415
1h_exec_6y,1h,1h,exec_close_vs_signal_ma,960,10,240,execution,640,96,97,13.295262627776047,-0.4290933482803039,6.807968406251471
1h_exec_6y,1h,1h,long_close_signal,960,15,360,signal,638,76,77,6.085816550410445,-0.6355867874217501,-3.5646121573816556
1h_exec_6y,1h,1h,exec_close_vs_signal_ma,960,15,360,execution,640,76,77,6.121525484730529,-0.63558678742175,-0.3657687367940472
1h_exec_6y,1h,1h,long_close_signal,960,20,480,signal,638,66,67,6.881066071683583,-0.45830759509635655,-2.769362636108517
1h_exec_6y,1h,1h,exec_close_vs_signal_ma,960,20,480,execution,640,66,67,6.9207826616804855,-0.4583075950963569,0.4334884401559096
1h_exec_6y,1h,4h,long_close_signal,240,0,0,signal,310,310,311,15.791167762486676,-0.3815012923476423,6.140739054694576
1h_exec_6y,1h,4h,exec_close_vs_signal_ma,240,0,0,execution,646,646,647,8.650881131110824,-0.46943205736907734,2.14544367610333
1h_exec_6y,1h,4h,long_close_signal,240,1,6,signal,310,204,205,15.16908603592513,-0.39155012892035956,5.518657328133029
1h_exec_6y,1h,4h,exec_close_vs_signal_ma,240,1,24,execution,646,240,241,13.237544819964437,-0.50299449739867,6.732107364956944
1h_exec_6y,1h,4h,long_close_signal,240,2,12,signal,310,158,159,17.494965918960453,-0.4226271609423399,7.844537211168353
1h_exec_6y,1h,4h,exec_close_vs_signal_ma,240,2,48,execution,646,194,195,11.803996213706217,-0.4838599468142806,5.298558758698723
1h_exec_6y,1h,4h,long_close_signal,240,3,18,signal,310,138,139,20.326357995035007,-0.42550969769081237,10.675929287242907
1h_exec_6y,1h,4h,exec_close_vs_signal_ma,240,3,72,execution,646,164,165,13.442067910978766,-0.4707668876813559,6.936630455971272
1h_exec_6y,1h,4h,long_close_signal,240,5,30,signal,310,116,117,13.937562439707394,-0.449461622856966,4.287133731915294
1h_exec_6y,1h,4h,exec_close_vs_signal_ma,240,5,120,execution,646,134,135,11.3282938655103,-0.4937747763444339,4.822856410502807
1h_exec_6y,1h,4h,long_close_signal,240,7,42,signal,310,106,107,12.593542419661338,-0.39890278891330844,2.9431137118692376
1h_exec_6y,1h,4h,exec_close_vs_signal_ma,240,7,168,execution,646,114,115,14.09522053568605,-0.4718211616313561,7.589783080678556
1h_exec_6y,1h,4h,long_close_signal,240,10,60,signal,310,92,93,11.111385851060069,-0.46110614109420756,1.4609571432679687
1h_exec_6y,1h,4h,exec_close_vs_signal_ma,240,10,240,execution,646,96,97,13.221788546066483,-0.42909334828030377,6.716351091058989
1h_exec_6y,1h,4h,long_close_signal,240,15,90,signal,310,72,73,6.3445942489094875,-0.6317484417563171,-3.3058344588826127
1h_exec_6y,1h,4h,exec_close_vs_signal_ma,240,15,360,execution,646,76,77,6.050302503955172,-0.6355867874217501,-0.4551349510523215
1h_exec_6y,1h,4h,long_close_signal,240,20,120,signal,310,64,65,6.252668942197708,-0.5460537280113298,-3.397759765594392
1h_exec_6y,1h,4h,exec_close_vs_signal_ma,240,20,480,execution,646,66,67,6.881066071683583,-0.45830759509635655,0.3756286166760896
1h_exec_6y,1h,1d,long_close_signal,40,0,0,signal,142,142,143,16.987138952939578,-0.5144557032999719,7.3367102451474775
1h_exec_6y,1h,1d,exec_close_vs_signal_ma,40,0,0,execution,624,624,625,9.148008085335796,-0.45348337131095007,2.6425706303283025
1h_exec_6y,1h,1d,long_close_signal,40,1,1,signal,142,142,143,16.987138952939578,-0.5144557032999719,7.3367102451474775
1h_exec_6y,1h,1d,exec_close_vs_signal_ma,40,1,24,execution,624,230,231,16.823455320041585,-0.43094586755309117,10.318017865034092
1h_exec_6y,1h,1d,long_close_signal,40,2,2,signal,142,126,127,17.822518838852606,-0.49514518790656503,8.172090131060505
1h_exec_6y,1h,1d,exec_close_vs_signal_ma,40,2,48,execution,624,188,189,12.442432402836202,-0.48759459863278576,5.936994947828708
1h_exec_6y,1h,1d,long_close_signal,40,3,3,signal,142,114,115,16.24513784781674,-0.4987668657243486,6.594709140024639
1h_exec_6y,1h,1d,exec_close_vs_signal_ma,40,3,72,execution,624,160,161,15.379453455137167,-0.46137166033496757,8.874016000129673
1h_exec_6y,1h,1d,long_close_signal,40,5,5,signal,142,98,99,18.304519451239532,-0.45698515562570374,8.654090743447432
1h_exec_6y,1h,1d,exec_close_vs_signal_ma,40,5,120,execution,624,134,135,11.068852231407988,-0.48122231393011106,4.563414776400494
1h_exec_6y,1h,1d,long_close_signal,40,7,7,signal,142,92,93,12.893501133767774,-0.4958655393950072,3.243072425975674
1h_exec_6y,1h,1d,exec_close_vs_signal_ma,40,7,168,execution,624,112,113,13.08938564982865,-0.4649668561614104,6.583948194821156
1h_exec_6y,1h,1d,long_close_signal,40,10,10,signal,142,84,85,10.105004745991803,-0.5431976820372522,0.4545760381997024
1h_exec_6y,1h,1d,exec_close_vs_signal_ma,40,10,240,execution,624,96,97,12.329678244661892,-0.44762830350787064,5.824240789654398
1h_exec_6y,1h,1d,long_close_signal,40,15,15,signal,142,68,69,6.78106726722126,-0.6175519557453486,-2.86936144057084
1h_exec_6y,1h,1d,exec_close_vs_signal_ma,40,15,360,execution,624,74,75,7.300515754469197,-0.6355867874217501,0.7950782994617036
1h_exec_6y,1h,1d,long_close_signal,40,20,20,signal,142,60,61,9.817277467072529,-0.5333150364676572,0.16684875928042864
1h_exec_6y,1h,1d,exec_close_vs_signal_ma,40,20,480,execution,624,64,65,8.150445928264151,-0.45830759509635655,1.6450084732566577
