window,signal_interval,exec_interval,signal_mode,freeze_days,freeze_bars,freeze_basis,return,max_dd,trades
6y,1h,1d,exec_close_vs_signal_ma,5,5,execution,19.865068717586166,-0.44734223700253684,99
6y,1h,1d,long_close_signal,7,168,signal,18.6228836629327,-0.4428058791072649,113
6y,1h,1d,exec_close_vs_signal_ma,7,7,execution,13.227901234853414,-0.48701974185517083,93
6y,4h,1h,long_close_signal,0,0,signal,15.795438270217158,-0.3815012923476423,311
6y,4h,1h,exec_close_vs_signal_ma,0,0,execution,8.653335645475716,-0.46943205736907734,647
6y,4h,1h,long_close_signal,2,12,signal,17.49966975469416,-0.4226271609423399,159
6y,4h,1h,exec_close_vs_signal_ma,2,48,execution,11.807252661714188,-0.4838599468142806,195
6y,4h,1h,long_close_signal,4,24,signal,16.783331872346853,-0.44527909956720224,129
6y,4h,1h,exec_close_vs_signal_ma,4,96,execution,13.386412467742868,-0.5054397854744377,145
6y,4h,1h,long_close_signal,5,30,signal,13.94136151888852,-0.449461622856966,117
6y,4h,1h,exec_close_vs_signal_ma,5,120,execution,11.331429327855803,-0.4937747763444339,135
6y,4h,1h,long_close_signal,7,42,signal,12.596999673427659,-0.39890278891330844,107
6y,4h,1h,exec_close_vs_signal_ma,7,168,execution,14.099059712144934,-0.4718211616313561,115
6y,4h,4h,long_close_signal,0,0,signal,15.795438270217158,-0.3738743889318914,311
6y,4h,4h,exec_close_vs_signal_ma,0,0,execution,16.09487161441419,-0.37896398846882773,313
6y,4h,4h,long_close_signal,2,12,signal,17.49966975469416,-0.4209606062781981,159
6y,4h,4h,exec_close_vs_signal_ma,2,12,execution,17.396851986393163,-0.4249816345059839,163
6y,4h,4h,long_close_signal,4,24,signal,16.783331872346853,-0.442900448988674,129
6y,4h,4h,exec_close_vs_signal_ma,4,24,execution,17.0323920383237,-0.4430744135721838,129
6y,4h,4h,long_close_signal,5,30,signal,13.94136151888852,-0.44598492933762557,117
6y,4h,4h,exec_close_vs_signal_ma,5,30,execution,14.1506191544389,-0.4459849293376257,117
6y,4h,4h,long_close_signal,7,42,signal,12.596999673427659,-0.39565599779266536,107
6y,4h,4h,exec_close_vs_signal_ma,7,42,execution,12.730038712934427,-0.3956559977926657,107
6y,4h,1d,long_close_signal,0,0,signal,15.358198314619205,-0.5056196059656921,149
6y,4h,1d,exec_close_vs_signal_ma,0,0,execution,16.869781149865126,-0.5056196059656921,147
6y,4h,1d,long_close_signal,2,12,signal,15.997636475572069,-0.5249478995555015,159
6y,4h,1d,exec_close_vs_signal_ma,2,2,execution,20.30020430881783,-0.4859576713614103,125
6y,4h,1d,long_close_signal,4,24,signal,10.712063184138891,-0.5381850735862637,129
6y,4h,1d,exec_close_vs_signal_ma,4,4,execution,16.209970695265184,-0.5018369190836998,105
6y,4h,1d,long_close_signal,5,30,signal,13.545716319546827,-0.4840706673283365,117
6y,4h,1d,exec_close_vs_signal_ma,5,5,execution,20.759390965192864,-0.4473422370025367,99
6y,4h,1d,long_close_signal,7,42,signal,11.98120152494895,-0.515181730498052,107
6y,4h,1d,exec_close_vs_signal_ma,7,7,execution,13.831907326488887,-0.48701974185517083,93
6y,1d,1h,long_close_signal,0,0,signal,16.991713632737568,-0.5144557032999719,143
6y,1d,1h,exec_close_vs_signal_ma,0,0,execution,9.150589034296011,-0.45348337131095007,625
6y,1d,1h,long_close_signal,2,2,signal,17.827305981316158,-0.49514518790656503,127
6y,1d,1h,exec_close_vs_signal_ma,2,48,execution,12.445851224701647,-0.48759459863278576,189
6y,1d,1h,long_close_signal,4,4,signal,14.820765003232797,-0.5117633246386408,105
6y,1d,1h,exec_close_vs_signal_ma,4,96,execution,14.625357618817164,-0.5037589384278964,145
6y,1d,1h,long_close_signal,5,5,signal,18.30942918120685,-0.45698515562570374,99
6y,1d,1h,exec_close_vs_signal_ma,5,120,execution,11.07192170980766,-0.48122231393011106,135
6y,1d,1h,long_close_signal,7,7,signal,12.897034676213094,-0.4958655393950072,93
6y,1d,1h,exec_close_vs_signal_ma,7,168,execution,13.092969011699987,-0.4649668561614104,113
6y,1d,4h,long_close_signal,0,0,signal,16.991713632737568,-0.513437110008012,143
6y,1d,4h,exec_close_vs_signal_ma,0,0,execution,14.413457602389244,-0.40703608557304916,327
6y,1d,4h,long_close_signal,2,2,signal,17.827305981316158,-0.49408608428099066,127
6y,1d,4h,exec_close_vs_signal_ma,2,12,execution,13.62914000285927,-0.46362479084594843,169
6y,1d,4h,long_close_signal,4,4,signal,14.820765003232797,-0.5097142377350694,105
6y,1d,4h,exec_close_vs_signal_ma,4,24,execution,16.589038415664476,-0.4715688887846523,131
6y,1d,4h,long_close_signal,5,5,signal,18.30942918120685,-0.45513673199650884,99
6y,1d,4h,exec_close_vs_signal_ma,5,30,execution,11.873450238180741,-0.4683943464959722,123
6y,1d,4h,long_close_signal,7,7,signal,12.897034676213094,-0.49425463896840405,93
6y,1d,4h,exec_close_vs_signal_ma,7,42,execution,11.552427537585759,-0.4320036148735593,109
6y,1d,1d,long_close_signal,0,0,signal,16.96442110720394,-0.5056196059656918,143
6y,1d,1d,exec_close_vs_signal_ma,0,0,execution,17.207710532559382,-0.5056196059656923,145
6y,1d,1d,long_close_signal,2,2,signal,17.798745904176563,-0.48595767136141,127
6y,1d,1d,exec_close_vs_signal_ma,2,2,execution,20.941898256848397,-0.48595767136141,127
6y,1d,1d,long_close_signal,4,4,signal,14.796765697684346,-0.5018369190837,105
6y,1d,1d,exec_close_vs_signal_ma,4,4,execution,18.456123575034887,-0.5018369190836999,103
6y,1d,1d,long_close_signal,5,5,signal,18.280137747398737,-0.44734223700253684,99
6y,1d,1d,exec_close_vs_signal_ma,5,5,execution,22.554908509220045,-0.4473422370025367,99
6y,1d,1d,long_close_signal,7,7,signal,12.875953572907171,-0.4870197418551707,93
6y,1d,1d,exec_close_vs_signal_ma,7,7,execution,14.690254051087278,-0.48701974185517083,93
